drug_1,drug_2,label
DB01337,DB01409,1
DB00572,DB08897,1
DB00860,DB03754,1
DB00588,DB01370,1
DB00741,DB03754,1
DB01370,DB09091,1
DB00687,DB03754,1
DB01234,DB03754,1
DB00635,DB03754,1
DB00547,DB01370,1
DB00959,DB03754,1
DB01047,DB01370,1
DB00860,DB01370,1
DB00591,DB01370,1
DB00324,DB03754,1
DB00288,DB03754,1
DB00288,DB01370,1
DB00324,DB01370,1
DB01222,DB01370,1
DB00620,DB03754,1
DB00959,DB01370,1
DB01013,DB01370,1
DB00764,DB03754,1
DB00588,DB03754,1
DB01047,DB03754,1
DB00443,DB03754,1
DB00687,DB01370,1
DB02187,DB03754,1
DB01370,DB02187,1
DB00846,DB03754,1
DB01234,DB01370,1
DB01708,DB03754,1
DB00655,DB03754,1
DB03754,DB04574,1
DB00635,DB01370,1
DB00180,DB03754,1
DB01370,DB01708,1
DB03754,DB08906,1
DB00180,DB01370,1
DB00591,DB03754,1
DB01370,DB08906,1
DB00741,DB01370,1
DB01222,DB03754,1
DB01370,DB04574,1
DB00443,DB01370,1
DB00655,DB01370,1
DB01013,DB03754,1
DB00547,DB03754,1
DB00620,DB01370,1
DB00335,DB00415,1
DB03754,DB09091,1
DB00764,DB01370,1
DB00846,DB01370,1
DB00615,DB01435,1
DB00199,DB00252,1
DB00615,DB00869,1
DB01045,DB06736,1
DB00615,DB00865,1
DB00615,DB00862,1
DB00564,DB08906,1
DB00607,DB00622,1
DB00495,DB00794,1
DB00496,DB00794,1
DB00497,DB00794,1
DB00835,DB01174,1
DB00836,DB01174,1
DB01045,DB06403,1
DB00499,DB00794,1
DB00312,DB00755,1
DB00656,DB00794,1
DB01045,DB08439,1
DB01174,DB01409,1
DB00655,DB00794,1
DB00794,DB01708,1
DB00193,DB00312,1
DB00564,DB00655,1
DB00564,DB00656,1
DB00312,DB00448,1
DB00199,DB00312,1
DB00312,DB06772,1
DB01045,DB01558,1
DB01045,DB01559,1
DB00564,DB06772,1
DB01045,DB08828,1
DB00607,DB01244,1
DB00673,DB00812,1
DB00312,DB04946,1
DB00091,DB01351,1
DB00904,DB01174,1
DB00907,DB01174,1
DB00906,DB01174,1
DB00794,DB01221,1
DB00312,DB01062,1
DB00252,DB00759,1
DB01045,DB01708,1
DB00418,DB01259,1
DB00564,DB01177,1
DB01045,DB08910,1
DB00794,DB00843,1
DB00252,DB00481,1
DB00682,DB01220,1
DB00540,DB01351,1
DB00252,DB00567,1
DB00543,DB01351,1
DB00673,DB06736,1
DB00559,DB01076,1
DB00188,DB00418,1
DB00316,DB01154,1
DB00564,DB00842,1
DB01045,DB01392,1
DB01151,DB01351,1
DB00091,DB00418,1
DB00418,DB00544,1
DB00615,DB01194,1
DB00418,DB00549,1
DB00418,DB00936,1
DB00312,DB04743,1
DB00177,DB00252,1
DB01045,DB01173,1
DB00503,DB00564,1
DB00502,DB00564,1
DB00490,DB00794,1
DB01174,DB01435,1
DB00312,DB00906,1
DB00252,DB06144,1
DB00328,DB00418,1
DB00418,DB01544,1
DB00327,DB00418,1
DB01174,DB01183,1
DB00321,DB00418,1
DB00564,DB01431,1
DB00564,DB01435,1
DB00224,DB00312,1
DB00227,DB00312,1
DB01045,DB01085,1
DB00312,DB00997,1
DB00433,DB00564,1
DB00418,DB00916,1
DB00564,DB01218,1
DB00794,DB01065,1
DB00564,DB01215,1
DB00794,DB00812,1
DB00346,DB00564,1
DB00344,DB00564,1
DB00794,DB00818,1
DB00794,DB06725,1
DB00794,DB01075,1
DB00794,DB01074,1
DB00794,DB01076,1
DB00849,DB01220,1
DB00418,DB01124,1
DB00794,DB00977,1
DB00252,DB00724,1
DB00794,DB01431,1
DB00312,DB09078,1
DB00252,DB00794,1
DB00794,DB00799,1
DB00252,DB00796,1
DB00589,DB01174,1
DB00588,DB01174,1
DB00234,DB01174,1
DB00615,DB00726,1
DB00418,DB00918,1
DB00231,DB01174,1
DB00250,DB00794,1
DB00227,DB00559,1
DB01045,DB01129,1
DB00615,DB01129,1
DB00794,DB05351,1
DB01045,DB04930,1
DB00615,DB09396,1
DB00252,DB00665,1
DB01174,DB04930,1
DB00418,DB01054,1
DB00312,DB06144,1
DB00794,DB00936,1
DB00332,DB01045,1
DB00622,DB01045,1
DB00624,DB01045,1
DB00312,DB00440,1
DB01050,DB01174,1
DB00628,DB01045,1
DB01174,DB01588,1
DB01054,DB01174,1
DB00612,DB00615,1
DB00794,DB01151,1
DB00564,DB00753,1
DB00794,DB01283,1
DB00615,DB01128,1
DB00599,DB01151,1
DB00615,DB01236,1
DB00252,DB00925,1
DB00759,DB01045,1
DB00615,DB01587,1
DB00252,DB00575,1
DB00184,DB00615,1
DB00185,DB00615,1
DB00252,DB00332,1
DB00938,DB01045,1
DB00180,DB00615,1
DB00248,DB01045,1
DB00246,DB01045,1
DB00245,DB01045,1
DB00936,DB01045,1
DB00312,DB01628,1
DB00794,DB09167,1
DB00794,DB05381,1
DB01174,DB01186,1
DB01174,DB01708,1
DB01174,DB01184,1
DB00502,DB00615,1
DB00177,DB00673,1
DB00252,DB00471,1
DB00248,DB00252,1
DB00615,DB01054,1
DB00312,DB01253,1
DB00246,DB00252,1
DB00297,DB00615,1
DB00294,DB00615,1
DB00245,DB00252,1
DB01174,DB12332,1
DB00794,DB03756,1
DB00808,DB01045,1
DB00312,DB01074,1
DB00381,DB00607,1
DB01174,DB01192,1
DB00717,DB00794,1
DB00564,DB06016,1
DB00712,DB00794,1
DB00477,DB00615,1
DB00475,DB00615,1
DB00472,DB00615,1
DB00471,DB00615,1
DB00554,DB00673,1
DB00252,DB01394,1
DB00418,DB00455,1
DB00615,DB04574,1
DB00418,DB00568,1
DB00615,DB00877,1
DB00564,DB01136,1
DB00607,DB00653,1
DB00252,DB05541,1
DB00829,DB01174,1
DB00451,DB00651,1
DB00312,DB01105,1
DB00312,DB01104,1
DB00822,DB01174,1
DB00312,DB01100,1
DB00564,DB01229,1
DB00759,DB00794,1
DB00622,DB00794,1
DB00620,DB00794,1
DB00624,DB00794,1
DB00628,DB00794,1
DB00794,DB04946,1
DB00615,DB00980,1
DB00180,DB00312,1
DB00564,DB01087,1
DB00568,DB00599,1
DB00184,DB00312,1
DB00185,DB00312,1
DB00564,DB01085,1
DB01174,DB01274,1
DB00564,DB00812,1
DB00252,DB00477,1
DB00918,DB01174,1
DB00884,DB01154,1
DB00615,DB06595,1
DB00912,DB01174,1
DB01045,DB08918,1
DB00969,DB01045,1
DB00252,DB00701,1
DB00564,DB01105,1
DB00356,DB01174,1
DB00615,DB01126,1
DB00418,DB01174,1
DB00252,DB00889,1
DB00607,DB06712,1
DB00418,DB00559,1
DB00418,DB00554,1
DB00418,DB06589,1
DB00418,DB01589,1
DB00312,DB00458,1
DB00312,DB00455,1
DB00564,DB00568,1
DB00564,DB00641,1
DB01045,DB01186,1
DB00514,DB00564,1
DB01045,DB01184,1
DB01045,DB01183,1
DB00564,DB01103,1
DB00564,DB01595,1
DB00564,DB01591,1
DB00312,DB00344,1
DB00519,DB00564,1
DB01174,DB08906,1
DB00794,DB00845,1
DB00338,DB00418,1
DB00615,DB00734,1
DB00333,DB00418,1
DB00794,DB00842,1
DB00312,DB00980,1
DB00420,DB00564,1
DB00231,DB00312,1
DB00426,DB00564,1
DB00234,DB00312,1
DB00615,DB01104,1
DB00564,DB03756,1
DB00794,DB00829,1
DB00390,DB00794,1
DB00396,DB00794,1
DB00136,DB01174,1
DB00356,DB00564,1
DB00252,DB00700,1
DB00794,DB06710,1
DB00252,DB00371,1
DB00794,DB01062,1
DB00418,DB01118,1
DB00794,DB09078,1
DB00252,DB01435,1
DB00794,DB01068,1
DB00794,DB01069,1
DB01174,DB06694,1
DB00615,DB01002,1
DB00418,DB00420,1
DB00252,DB00647,1
DB00564,DB01355,1
DB00673,DB00991,1
DB00312,DB00475,1
DB00224,DB01174,1
DB00564,DB01171,1
DB00227,DB01174,1
DB00222,DB01174,1
DB00564,DB01179,1
DB00794,DB01120,1
DB00615,DB01138,1
DB01174,DB01200,1
DB00615,DB01131,1
DB00615,DB01132,1
DB00418,DB01075,1
DB00252,DB00655,1
DB00615,DB00628,1
DB00252,DB06777,1
DB00252,DB06772,1
DB01065,DB01174,1
DB00321,DB01045,1
DB01067,DB01174,1
DB00324,DB01045,1
DB00673,DB01075,1
DB00564,DB01028,1
DB00327,DB01045,1
DB00328,DB01045,1
DB01069,DB01174,1
DB01068,DB01174,1
DB01174,DB01261,1
DB00564,DB01006,1
DB00615,DB00661,1
DB00615,DB00682,1
DB00564,DB01002,1
DB00849,DB01054,1
DB00418,DB06268,1
DB00599,DB01142,1
DB00418,DB05541,1
DB00252,DB00433,1
DB00615,DB01227,1
DB00418,DB01171,1
DB00744,DB01045,1
DB00615,DB01229,1
DB00252,DB00346,1
DB01174,DB06712,1
DB00794,DB01124,1
DB00921,DB01045,1
DB00250,DB01045,1
DB00927,DB01045,1
DB00925,DB01045,1
DB00312,DB08881,1
DB00297,DB00312,1
DB00312,DB06595,1
DB00312,DB01026,1
DB00277,DB00451,1
DB01174,DB12267,1
DB01174,DB08439,1
DB00418,DB00540,1
DB01174,DB06710,1
DB00312,DB01248,1
DB00266,DB00615,1
DB00615,DB01045,1
DB00637,DB01045,1
DB00312,DB01242,1
DB00252,DB00502,1
DB00312,DB01244,1
DB00738,DB00794,1
DB00849,DB01151,1
DB00252,DB01105,1
DB00252,DB01103,1
DB00252,DB01100,1
DB01174,DB01177,1
DB00814,DB01045,1
DB00812,DB01045,1
DB00393,DB00607,1
DB00312,DB01068,1
DB01351,DB01427,1
DB00706,DB00794,1
DB00700,DB00794,1
DB00701,DB00794,1
DB01087,DB01174,1
DB01085,DB01174,1
DB00708,DB00794,1
DB00402,DB00615,1
DB00401,DB00615,1
DB00404,DB00615,1
DB00252,DB01216,1
DB00794,DB04841,1
DB00794,DB04846,1
DB00564,DB01227,1
DB00673,DB00945,1
DB00615,DB01159,1
DB01074,DB01355,1
DB00312,DB01118,1
DB00564,DB01015,1
DB00312,DB01114,1
DB00312,DB01115,1
DB00850,DB01174,1
DB00564,DB01016,1
DB00564,DB08827,1
DB00312,DB01261,1
DB00615,DB00674,1
DB00324,DB00615,1
DB00615,DB01156,1
DB00637,DB00794,1
DB00316,DB00615,1
DB00794,DB06712,1
DB01045,DB01171,1
DB00320,DB00615,1
DB00252,DB01628,1
DB01045,DB01177,1
DB00252,DB00497,1
DB00564,DB06777,1
DB00252,DB01154,1
DB01045,DB01175,1
DB00540,DB00599,1
DB00543,DB00599,1
DB00252,DB01156,1
DB00615,DB08827,1
DB00615,DB01154,1
DB00252,DB00589,1
DB00252,DB01621,1
DB00252,DB00588,1
DB01045,DB01409,1
DB00564,DB00744,1
DB01045,DB01075,1
DB00312,DB00731,1
DB00615,DB09078,1
DB01174,DB06144,1
DB00312,DB00738,1
DB00568,DB01351,1
DB00252,DB06016,1
DB00607,DB01115,1
DB00673,DB01274,1
DB00482,DB00615,1
DB00252,DB00499,1
DB00564,DB06595,1
DB00673,DB01177,1
DB00564,DB00988,1
DB01174,DB01558,1
DB00312,DB00420,1
DB00564,DB00637,1
DB00564,DB00983,1
DB01045,DB01194,1
DB00564,DB01588,1
DB00564,DB01589,1
DB00295,DB00564,1
DB00312,DB00884,1
DB00312,DB00889,1
DB01045,DB01198,1
DB00564,DB01587,1
DB01174,DB01589,1
DB01174,DB08910,1
DB01045,DB01355,1
DB00418,DB01218,1
DB01045,DB01351,1
DB01174,DB08918,1
DB00794,DB01220,1
DB00312,DB01409,1
DB00564,DB01026,1
DB00607,DB00890,1
DB00266,DB01220,1
DB00185,DB00564,1
DB00184,DB00564,1
DB00180,DB00564,1
DB00312,DB04841,1
DB00184,DB00418,1
DB00418,DB00471,1
DB00455,DB01174,1
DB00615,DB08910,1
DB00451,DB01174,1
DB00381,DB00794,1
DB00418,DB01037,1
DB00266,DB00849,1
DB00458,DB01174,1
DB01174,DB01394,1
DB00227,DB00615,1
DB00794,DB06702,1
DB00794,DB06700,1
DB01174,DB09389,1
DB01045,DB05271,1
DB00794,DB01242,1
DB00794,DB01016,1
DB00794,DB01015,1
DB00418,DB08439,1
DB00418,DB00983,1
DB00312,DB01220,1
DB00615,DB05271,1
DB00418,DB00988,1
DB00418,DB00458,1
DB00564,DB04846,1
DB00418,DB00783,1
DB00213,DB01174,1
DB00252,DB06203,1
DB00215,DB01174,1
DB00216,DB01174,1
DB00312,DB12267,1
DB00252,DB05351,1
DB00794,DB09396,1
DB00615,DB01105,1
DB00136,DB01045,1
DB00615,DB01100,1
DB00794,DB01129,1
DB00794,DB01128,1
DB00794,DB01126,1
DB00418,DB01076,1
DB00694,DB01174,1
DB00418,DB01074,1
DB00696,DB01174,1
DB00418,DB01072,1
DB00690,DB01174,1
DB00884,DB01355,1
DB00794,DB01241,1
DB00599,DB09167,1
DB01072,DB01174,1
DB01076,DB01174,1
DB01074,DB01174,1
DB01075,DB01174,1
DB00481,DB01045,1
DB00482,DB01045,1
DB00615,DB00678,1
DB00175,DB00559,1
DB00678,DB01174,1
DB00418,DB12267,1
DB00673,DB00712,1
DB00675,DB01174,1
DB00674,DB01174,1
DB00673,DB01174,1
DB00312,DB00745,1
DB00794,DB01261,1
DB00252,DB00426,1
DB01220,DB01351,1
DB00615,DB01215,1
DB01009,DB01174,1
DB01220,DB01355,1
DB00615,DB01218,1
DB00248,DB01174,1
DB00794,DB01104,1
DB00268,DB01045,1
DB00255,DB00607,1
DB00794,DB01115,1
DB00252,DB00356,1
DB00564,DB06702,1
DB00266,DB01355,1
DB00264,DB01045,1
DB00266,DB01045,1
DB00799,DB01045,1
DB00312,DB01587,1
DB00252,DB01296,1
DB00312,DB01589,1
DB00312,DB01588,1
DB00796,DB01045,1
DB00615,DB01409,1
DB00615,DB01074,1
DB00252,DB01355,1
DB00418,DB01221,1
DB00312,DB01274,1
DB00252,DB00514,1
DB00277,DB00615,1
DB00270,DB00615,1
DB00318,DB01045,1
DB00418,DB03756,1
DB00643,DB01045,1
DB00794,DB00814,1
DB00641,DB01045,1
DB00316,DB01045,1
DB00647,DB01045,1
DB00794,DB08828,1
DB00252,DB01171,1
DB00615,DB01076,1
DB00252,DB01177,1
DB00252,DB01175,1
DB00312,DB01054,1
DB00252,DB01179,1
DB00312,DB06694,1
DB00091,DB00615,1
DB00862,DB01045,1
DB00252,DB00495,1
DB00794,DB01435,1
DB00865,DB01045,1
DB00869,DB01045,1
DB00731,DB00794,1
DB00615,DB12332,1
DB01351,DB09167,1
DB01045,DB01104,1
DB01098,DB01174,1
DB00734,DB00794,1
DB01174,DB04574,1
DB01097,DB01174,1
DB00794,DB08827,1
DB00673,DB01009,1
DB00418,DB00615,1
DB00794,DB01394,1
DB00615,DB00897,1
DB00252,DB01009,1
DB00252,DB01006,1
DB00252,DB00458,1
DB00615,DB00898,1
DB00252,DB01002,1
DB00607,DB01074,1
DB00849,DB01174,1
DB00312,DB00622,1
DB00842,DB01174,1
DB00843,DB01174,1
DB00845,DB01174,1
DB00312,DB01126,1
DB00608,DB00794,1
DB00252,DB01409,1
DB00602,DB00794,1
DB01174,DB01179,1
DB00307,DB00615,1
DB00312,DB00726,1
DB00794,DB01072,1
DB00794,DB05541,1
DB00564,DB06725,1
DB00564,DB08439,1
DB00615,DB06702,1
DB01045,DB08906,1
DB00418,DB04743,1
DB00312,DB05351,1
DB00312,DB06738,1
DB00418,DB01120,1
DB00564,DB01240,1
DB00564,DB00799,1
DB01045,DB01174,1
DB00312,DB01192,1
DB00418,DB05381,1
DB01045,DB08922,1
DB00518,DB00794,1
DB00612,DB01045,1
DB00514,DB00794,1
DB00564,DB00755,1
DB00564,DB00751,1
DB00091,DB00312,1
DB00564,DB00758,1
DB01045,DB01218,1
DB01045,DB06216,1
DB00418,DB01220,1
DB00312,DB00426,1
DB00418,DB01283,1
DB00418,DB01229,1
DB01355,DB01427,1
DB00863,DB01045,1
DB00418,DB00530,1
DB01174,DB06216,1
DB00390,DB01174,1
DB00564,DB00620,1
DB00564,DB00622,1
DB00564,DB00991,1
DB00564,DB00624,1
DB00949,DB01045,1
DB00312,DB00540,1
DB00312,DB00543,1
DB00312,DB00544,1
DB00564,DB00575,1
DB00312,DB00546,1
DB00312,DB00549,1
DB00749,DB01045,1
DB00312,DB01098,1
DB01045,DB06738,1
DB00564,DB01069,1
DB00418,DB01261,1
DB00849,DB00884,1
DB00250,DB01220,1
DB00615,DB01216,1
DB00339,DB01174,1
DB00607,DB00884,1
DB00418,DB00624,1
DB00418,DB00850,1
DB00252,DB00799,1
DB00564,DB01248,1
DB00379,DB00564,1
DB00440,DB01174,1
DB00371,DB00564,1
DB00448,DB01174,1
DB00458,DB00849,1
DB00178,DB00564,1
DB01039,DB01045,1
DB00564,DB01154,1
DB01037,DB01045,1
DB01036,DB01045,1
DB00177,DB00564,1
DB00794,DB06777,1
DB00564,DB00608,1
DB00312,DB00943,1
DB00794,DB01002,1
DB00794,DB01006,1
DB00622,DB01174,1
DB00418,DB00991,1
DB00418,DB00440,1
DB00794,DB01216,1
DB00661,DB01045,1
DB00289,DB00564,1
DB00418,DB00448,1
DB00312,DB00897,1
DB00280,DB00564,1
DB00281,DB00564,1
DB00564,DB01159,1
DB00564,DB01100,1
DB00208,DB01174,1
DB00204,DB01174,1
DB00564,DB01156,1
DB00564,DB01151,1
DB00203,DB01174,1
DB00564,DB01621,1
DB00201,DB01174,1
DB00281,DB00794,1
DB00280,DB00794,1
DB00285,DB00794,1
DB00564,DB01393,1
DB00564,DB01392,1
DB00615,DB01110,1
DB00794,DB01138,1
DB00615,DB01115,1
DB00615,DB01118,1
DB00252,DB00983,1
DB00794,DB01218,1
DB00682,DB01174,1
DB00683,DB01174,1
DB01045,DB01103,1
DB00564,DB01261,1
DB00564,DB01558,1
DB00091,DB00607,1
DB00688,DB01174,1
DB00564,DB01124,1
DB00726,DB01355,1
DB00252,DB00395,1
DB00499,DB01045,1
DB00564,DB12332,1
DB00496,DB01045,1
DB00615,DB00647,1
DB00252,DB00708,1
DB00615,DB00641,1
DB00615,DB00643,1
DB00564,DB01023,1
DB00607,DB04743,1
DB01045,DB04574,1
DB00185,DB00252,1
DB00184,DB00252,1
DB00794,DB01253,1
DB00180,DB00252,1
DB00356,DB00794,1
DB00312,DB00603,1
DB00091,DB01355,1
DB00794,DB09238,1
DB00252,DB00749,1
DB00277,DB01045,1
DB01174,DB09238,1
DB01174,DB01427,1
DB00418,DB01242,1
DB00312,DB00471,1
DB00564,DB04876,1
DB00312,DB01591,1
DB00784,DB01045,1
DB00783,DB01045,1
DB00418,DB01104,1
DB00252,DB00390,1
DB00788,DB01045,1
DB00615,DB01068,1
DB00615,DB01062,1
DB00682,DB01437,1
DB00243,DB00615,1
DB00599,DB01054,1
DB00246,DB00615,1
DB00307,DB01045,1
DB00656,DB01045,1
DB00252,DB06403,1
DB00615,DB05541,1
DB00849,DB04743,1
DB00401,DB00607,1
DB00870,DB01045,1
DB00877,DB01045,1
DB00726,DB00794,1
DB00724,DB00794,1
DB00794,DB06144,1
DB00312,DB01128,1
DB00418,DB01050,1
DB00426,DB00615,1
DB01045,DB01196,1
DB00420,DB00615,1
DB01174,DB01222,1
DB00418,DB00675,1
DB00312,DB06216,1
DB00620,DB01045,1
DB00312,DB00983,1
DB00252,DB01016,1
DB00607,DB00661,1
DB00312,DB01136,1
DB00877,DB01174,1
DB00870,DB01174,1
DB00872,DB01174,1
DB01174,DB05541,1
DB00312,DB01138,1
DB00312,DB00850,1
DB00612,DB00794,1
DB00615,DB01222,1
DB00615,DB00794,1
DB00339,DB00615,1
DB00338,DB00615,1
DB00332,DB00615,1
DB00564,DB00778,1
DB01054,DB01154,1
DB00312,DB01559,1
DB00266,DB01154,1
DB00615,DB00938,1
DB00794,DB01037,1
DB01045,DB01192,1
DB00564,DB01274,1
DB00502,DB00794,1
DB00503,DB00794,1
DB00604,DB00794,1
DB00758,DB01174,1
DB00759,DB01174,1
DB00794,DB01036,1
DB01045,DB01200,1
DB00312,DB00717,1
DB00395,DB00564,1
DB00564,DB00768,1
DB00295,DB00418,1
DB00794,DB06595,1
DB00794,DB00909,1
DB01118,DB01174,1
DB00344,DB01351,1
DB00312,DB00396,1
DB00312,DB00390,1
DB00418,DB00502,1
DB00599,DB00615,1
DB01174,DB06203,1
DB00615,DB00724,1
DB01174,DB06207,1
DB00312,DB00404,1
DB00153,DB00312,1
DB00312,DB00402,1
DB00897,DB01174,1
DB00312,DB00433,1
DB00252,DB04846,1
DB00564,DB00969,1
DB00418,DB00784,1
DB00312,DB00379,1
DB00252,DB05381,1
DB00344,DB00849,1
DB00252,DB01072,1
DB00418,DB09068,1
DB00312,DB00843,1
DB00418,DB01274,1
DB00418,DB01098,1
DB01045,DB13179,1
DB00615,DB06144,1
DB00615,DB00751,1
DB00794,DB01028,1
DB00615,DB05351,1
DB00418,DB00619,1
DB00252,DB00927,1
DB00471,DB01174,1
DB00472,DB01174,1
DB00475,DB01174,1
DB00381,DB00564,1
DB00312,DB00381,1
DB00312,DB00688,1
DB00208,DB00615,1
DB00794,DB01409,1
DB01028,DB01045,1
DB01029,DB01045,1
DB01045,DB01159,1
DB00564,DB00918,1
DB01026,DB01045,1
DB00312,DB00977,1
DB01023,DB01045,1
DB00564,DB00688,1
DB00615,DB01588,1
DB00252,DB00297,1
DB00312,DB08918,1
DB00549,DB00564,1
DB00564,DB00818,1
DB00277,DB00418,1
DB00751,DB01045,1
DB00546,DB00564,1
DB00541,DB00564,1
DB00540,DB00564,1
DB00543,DB00564,1
DB00753,DB01045,1
DB00794,DB06216,1
DB00297,DB00794,1
DB00295,DB00794,1
DB00277,DB01174,1
DB01242,DB01355,1
DB00564,DB09396,1
DB00454,DB01045,1
DB00418,DB06725,1
DB00252,DB00620,1
DB00252,DB13179,1
DB00252,DB00991,1
DB00252,DB00997,1
DB00312,DB05541,1
DB00418,DB01016,1
DB00418,DB01018,1
DB00252,DB08439,1
DB00312,DB01076,1
DB00091,DB01174,1
DB00794,DB01009,1
DB00564,DB01138,1
DB00469,DB01045,1
DB00307,DB01174,1
DB00564,DB01037,1
DB00615,DB00656,1
DB00794,DB01248,1
