node_1,node_2,score
DB00521,ENTREZ:155,0.0021
DB00521,DB00408,0.00209
DB00521,DB00489,0.00209
DB00521,DB08807,0.00208
DB00521,DB01210,0.00205
DB00521,DB00612,0.00204
DB00521,DB00866,0.00204
DB00521,DB00871,0.00203
DB00521,DB01102,0.00201
DB00521,DB08808,0.00201
DB00521,DB01359,0.00197
DB00521,DB00397,0.00194
DB00521,DB01295,0.00192
DB00521,ENTREZ:433201,0.00192
DB00521,DB04861,0.0019
DB00521,DB01214,0.00189
DB00521,DB00221,0.00189
DB00843,DB00843,0.1527
DB00843,ENTREZ:177975,0.00786
DB00843,ENTREZ:1066,0.00779
DB00843,ENTREZ:8824,0.0076
DB00843,ENTREZ:54413,0.00748
DB00843,ENTREZ:23491,0.00743
DB00843,ENTREZ:221223,0.00741
DB00843,ENTREZ:283848,0.00736
DB00843,ENTREZ:57502,0.00729
DB00843,ENTREZ:22871,0.00726
DB00843,ENTREZ:57555,0.00726
DB00843,ENTREZ:22829,0.0072
DB00843,ENTREZ:590,0.00694
DB00843,ENTREZ:1056,0.00685
DB00843,ENTREZ:1375,0.00654
DB00843,ENTREZ:1374,0.00649
DB00843,ENTREZ:1376,0.00646
DB00843,ENTREZ:126129,0.00634
DB00843,ENTREZ:36431,0.00628
DB00843,ENTREZ:1384,0.00616
DB00843,ENTREZ:3757,0.00602
DB00843,ENTREZ:1103,0.00593
DB00843,ENTREZ:11255,0.00592
DB00843,ENTREZ:4129,0.00588
DB00843,DB01593,0.0026
DB00843,DB00674,0.00213
DB00843,DB03128,0.00197
DB00843,DB00545,0.00194
DB00843,DB01010,0.00193
DB00843,DB00981,0.00189
DB00843,DB01400,0.00185
DB00843,DB01608,0.00165
DB00843,DB00572,0.00162
DB00843,DB00829,0.0016
DB00843,DB00202,0.0016
DB00843,DB01035,0.00159
DB00843,DB00475,0.00155
DB00843,ENTREZ:1311630,0.00155
DB00843,ENTREZ:351,0.00147
DB00843,DB01378,0.00115
DB00843,ENTREZ:1869,0.00101
DB00843,ENTREZ:7027,0.00098
DB00843,ENTREZ:7029,0.00096
DB00843,ENTREZ:177990,0.0009
DB00843,ENTREZ:47,0.00087
DB00843,ENTREZ:2180,0.00087
DB00843,ENTREZ:34451,0.00084
DB00843,ENTREZ:3295,0.00079
DB00843,ENTREZ:9227,0.00078
DB00843,DB00583,0.00078
DB06262,DB06262,0.15598
DB06262,ENTREZ:178200,0.02083
DB06262,ENTREZ:29371,0.02062
DB06262,ENTREZ:433201,0.01885
DB06262,ENTREZ:178194,0.01785
DB06262,ENTREZ:178896,0.0178
DB06262,ENTREZ:189937,0.01773
DB06262,ENTREZ:178196,0.0177
DB06262,ENTREZ:177807,0.01754
DB06262,ENTREZ:178198,0.01706
DB06262,DB00368,0.00662
DB06262,DB00668,0.00607
DB06262,DB00120,0.00534
DB06262,DB00360,0.00508
DB06262,DB00334,0.00296
DB06262,DB00370,0.00286
DB06262,DB01136,0.00284
DB06262,DB00408,0.00269
DB06262,DB00248,0.00258
DB06262,DB01224,0.00258
DB06262,DB00321,0.00256
DB06262,ENTREZ:37127,0.0025
DB06262,DB00540,0.00245
DB06262,DB01363,0.00244
DB06262,DB00925,0.00243
DB06262,DB01186,0.00235
DB06262,DB06148,0.00235
DB06262,DB00363,0.00234
DB06262,DB01151,0.00232
DB06262,DB00543,0.00227
DB06262,DB01238,0.00223
DB06262,DB06216,0.00223
DB06262,DB04855,0.00209
DB06262,DB00935,0.00205
DB06262,DB00575,0.00204
DB06262,DB01407,0.00204
DB06262,DB06694,0.00204
DB06262,DB00571,0.00202
DB06262,DB00960,0.00201
DB06262,DB00734,0.00201
DB06262,DB00696,0.002
DB06262,DB01267,0.00199
DB06262,DB01288,0.00195
DB06262,DB01064,0.00195
DB06262,DB00938,0.00194
DB06262,DB01001,0.00194
DB06262,DB01580,0.00194
DB06262,DB00983,0.00194
DB06262,ENTREZ:189928,0.00193
DB06262,DB00477,0.00187
DB00415,DB00415,0.17697
DB00415,ENTREZ:984233,0.07536
DB00415,ENTREZ:153767,0.07005
DB00415,ENTREZ:15457529,0.06998
DB00415,ENTREZ:773588,0.05101
DB00415,ENTREZ:999213,0.04128
DB00415,DB00493,0.03421
DB00415,DB00713,0.02901
DB00415,DB01053,0.01845
DB00415,ENTREZ:18145626,0.01737
DB00415,DB00456,0.01674
DB00415,DB01331,0.01542
DB00415,DB01212,0.01532
DB00415,DB01603,0.01458
DB00415,DB00485,0.01301
DB00415,DB00739,0.0129
DB00415,DB08795,0.0129
DB00415,DB00567,0.0129
DB00415,DB00607,0.0129
DB00415,DB01140,0.0129
DB00415,ENTREZ:4378059,0.01046
DB00415,DB00417,0.00993
DB00415,ENTREZ:42468,0.00951
DB00415,ENTREZ:581194,0.00951
DB00415,DB00319,0.00871
DB00415,ENTREZ:7707622,0.00648
DB00415,ENTREZ:3831566,0.00648
DB00415,ENTREZ:41216,0.00639
DB00415,DB00438,0.00627
DB00415,DB01066,0.00624
DB00415,DB01000,0.00622
DB00415,ENTREZ:46611,0.00618
DB00415,DB01032,0.00582
DB00415,ENTREZ:42314,0.00567
DB00415,DB01050,0.00564
DB00415,DB03793,0.00536
DB00415,ENTREZ:208959,0.00536
DB00415,ENTREZ:790944,0.00515
DB00415,DB01147,0.00504
DB00415,ENTREZ:145267,0.00443
DB00415,ENTREZ:41218,0.004
DB00415,DB01329,0.00394
DB00415,ENTREZ:28590,0.00326
DB00415,DB00303,0.00322
DB00415,DB09060,0.00305
DB00415,DB01598,0.00299
DB00415,DB04570,0.00293
DB00415,DB01332,0.00273
DB00415,DB00430,0.00261
DB00415,ENTREZ:10599,0.00256
DB00818,DB00818,0.16539
DB00818,ENTREZ:7861736,0.03056
DB00818,ENTREZ:182925,0.0298
DB00818,ENTREZ:455946,0.0291
DB00818,ENTREZ:457879,0.0271
DB00818,ENTREZ:338213,0.02643
DB00818,ENTREZ:760,0.02478
DB00818,DB00909,0.01478
DB00818,ENTREZ:31631,0.00899
DB00818,DB00555,0.00771
DB00818,ENTREZ:386422,0.0062
DB00818,ENTREZ:386424,0.0062
DB00818,ENTREZ:182916,0.00605
DB00818,DB00897,0.00575
DB00818,DB00231,0.00566
DB00818,DB01595,0.00563
DB00818,DB00829,0.00561
DB00818,DB00898,0.00559
DB00818,DB00683,0.00554
DB00818,DB00842,0.00552
DB00818,DB01558,0.00552
DB00818,DB00690,0.00552
DB00818,ENTREZ:31637,0.00541
DB00818,DB00586,0.0053
DB00818,DB01588,0.00527
DB00818,DB00801,0.00527
DB00818,DB01215,0.00527
DB00818,DB00281,0.00523
DB00818,DB01195,0.00467
DB00818,DB00546,0.00465
DB00818,DB01594,0.00465
DB00818,DB01567,0.00465
DB00818,DB01559,0.00465
DB00818,ENTREZ:193783776,0.00433
DB00818,ENTREZ:1857126,0.00433
DB00818,ENTREZ:31635,0.00433
DB00818,ENTREZ:2388693,0.00433
DB00818,ENTREZ:2197001,0.00417
DB00818,ENTREZ:1754749,0.00417
DB00818,ENTREZ:182911,0.00415
DB00818,ENTREZ:456428,0.00415
DB00818,DB01589,0.00405
DB00818,ENTREZ:6326,0.00346
DB00818,ENTREZ:905393,0.00321
DB00818,ENTREZ:1470364,0.00321
DB00818,ENTREZ:184039,0.00303
DB00818,DB06716,0.00236
DB00818,DB01544,0.00236
DB00818,ENTREZ:306883,0.00195
DB00818,DB00425,0.00189
DB00754,DB00754,0.15542
DB00754,ENTREZ:184039,0.07804
DB00754,ENTREZ:3511138,0.07799
DB00754,DB00909,0.00647
DB00754,DB00252,0.00637
DB00754,DB00564,0.00562
DB00754,DB00281,0.00518
DB00754,ENTREZ:487738,0.0049
DB00754,DB00908,0.00448
DB00754,DB00661,0.00438
DB00754,DB00280,0.00436
DB00754,DB00243,0.00426
DB00754,DB00907,0.00423
DB00754,DB01195,0.00419
DB00754,DB06217,0.00409
DB00754,DB00527,0.00404
DB00754,DB01035,0.004
DB00754,DB00379,0.0039
DB00754,DB01182,0.00388
DB00754,DB00740,0.00388
DB00754,DB01429,0.00385
DB00754,ENTREZ:179888,0.00307
DB00754,ENTREZ:758110,0.00301
DB00754,ENTREZ:31234,0.00287
DB00754,DB01229,0.00273
DB00754,DB01248,0.00273
DB00754,DB01045,0.0026
DB00754,DB02709,0.00254
DB00754,DB00396,0.0024
DB00754,DB00783,0.00236
DB00754,DB00255,0.00232
DB00754,DB01708,0.0023
DB00754,DB00675,0.00229
DB00754,DB00163,0.00227
DB00754,DB00312,0.00223
DB00754,DB01138,0.00219
DB00754,DB01110,0.00218
DB00754,ENTREZ:755648,0.00218
DB00754,DB00849,0.00215
DB00754,DB01026,0.00211
DB00754,DB00421,0.00209
DB00754,ENTREZ:4838145,0.00209
DB00754,DB01115,0.00206
DB00754,ENTREZ:338213,0.00206
DB00754,DB00682,0.00206
DB00754,DB01174,0.00206
DB00754,DB04930,0.00203
DB00754,DB13179,0.002
DB00754,DB00257,0.00199
DB00754,DB06777,0.00199
DB00956,DB00956,0.15247
DB00956,ENTREZ:452073,0.04536
DB00956,ENTREZ:27545517,0.04342
DB00956,ENTREZ:4988,0.03545
DB00956,ENTREZ:4986,0.03461
DB00956,ENTREZ:532060,0.01195
DB00956,DB00321,0.00355
DB00956,DB00704,0.0033
DB00956,DB00514,0.00323
DB00956,DB00295,0.00323
DB00956,DB00497,0.00322
DB00956,DB01183,0.00322
DB00956,DB00813,0.00322
DB00956,DB00708,0.00322
DB00956,DB00333,0.00307
DB00956,DB01221,0.00289
DB00956,DB01192,0.00288
DB00956,DB00836,0.00282
DB00956,DB00611,0.0028
DB00956,DB00844,0.0028
DB00956,DB00327,0.0028
DB00956,DB00193,0.00278
DB00956,DB06204,0.00272
DB00956,DB00318,0.00271
DB00956,DB06738,0.0027
DB00956,DB11691,0.00265
DB00956,DB00854,0.00265
DB00956,DB00921,0.00265
DB00956,DB09396,0.00265
DB00956,DB06274,0.00265
DB00956,DB01452,0.00265
DB00956,DB00899,0.00265
DB00956,DB00647,0.00265
DB00956,DB09272,0.00265
DB00956,DB01081,0.00233
DB00956,ENTREZ:4985,0.00233
DB00956,DB00454,0.00179
DB00956,DB00802,0.00163
DB00956,DB00652,0.00147
DB00956,DB01209,0.0014
DB00956,DB06800,0.0014
DB00956,ENTREZ:189258,0.00137
DB00956,ENTREZ:1902,0.00127
DB00956,DB00904,0.00124
DB00956,ENTREZ:23566,0.00122
DB00956,ENTREZ:56923,0.00122
DB00956,DB01227,0.00122
DB00956,ENTREZ:9170,0.00121
DB00956,ENTREZ:2847,0.00121
DB00956,ENTREZ:10316,0.00121
DB00204,DB00204,0.18573
DB00204,ENTREZ:487738,0.04572
DB00204,ENTREZ:3757,0.04292
DB00204,ENTREZ:567019,0.04083
DB00204,ENTREZ:5712621,0.04052
DB00204,DB04855,0.01997
DB00204,DB01392,0.01773
DB00204,ENTREZ:178196,0.00296
DB00204,DB00661,0.00295
DB00204,ENTREZ:178194,0.00292
DB00204,ENTREZ:178198,0.00282
DB00204,ENTREZ:36431,0.00255
DB00204,ENTREZ:181432,0.00245
DB00204,ENTREZ:433201,0.00228
DB00204,ENTREZ:189928,0.00205
DB00204,ENTREZ:177807,0.00198
DB00204,DB00458,0.00196
DB00204,ENTREZ:338028,0.00196
DB00204,DB00477,0.00192
DB00204,ENTREZ:178200,0.00188
DB00204,DB01136,0.00175
DB00204,DB00457,0.00172
DB00204,ENTREZ:219679,0.00172
DB00204,ENTREZ:927342,0.00171
DB00204,ENTREZ:1698403,0.00169
DB00204,ENTREZ:475198,0.00165
DB00204,ENTREZ:179764,0.00163
DB00204,DB00590,0.00162
DB00204,DB00308,0.00162
DB00204,DB01100,0.00162
DB00204,DB01162,0.00162
DB00204,DB00679,0.00161
DB00204,DB00472,0.00161
DB00204,ENTREZ:177772,0.0016
DB00204,DB01244,0.00155
DB00204,ENTREZ:300417,0.00153
DB00204,ENTREZ:510296,0.00152
DB00204,ENTREZ:184039,0.00152
DB00204,DB01149,0.00146
DB00204,DB01142,0.00145
DB00204,DB01182,0.0014
DB00204,DB00908,0.00139
DB00204,ENTREZ:3741,0.00138
DB00204,DB01074,0.00138
DB00204,DB00276,0.00137
DB00204,DB00199,0.00134
DB00204,ENTREZ:179806,0.00133
DB00204,DB00455,0.0013
DB00204,DB00346,0.00128
DB00204,ENTREZ:3183953,0.00125
DB00517,DB00517,0.15239
DB00517,ENTREZ:177990,0.05866
DB00517,ENTREZ:34451,0.05786
DB00517,ENTREZ:32324,0.05686
DB00517,ENTREZ:61970253,0.00754
DB00517,ENTREZ:177988,0.00613
DB00517,DB00334,0.00378
DB00517,DB00363,0.00378
DB00517,DB00321,0.00375
DB00517,DB00458,0.0037
DB00517,DB01224,0.00369
DB00517,DB00408,0.00368
DB00517,DB01238,0.00358
DB00517,ENTREZ:1458110,0.00357
DB00517,DB00540,0.00353
DB00517,DB01151,0.00348
DB00517,DB00420,0.00334
DB00517,DB00934,0.00333
DB00517,DB01069,0.00331
DB00517,ENTREZ:1129,0.00319
DB00517,ENTREZ:1131,0.00317
DB00517,DB01142,0.0031
DB00517,DB00246,0.00309
DB00517,DB00434,0.00305
DB00517,DB00715,0.00301
DB00517,DB01403,0.00299
DB00517,DB00747,0.00297
DB00517,DB00572,0.00296
DB00517,DB03128,0.00294
DB00517,DB00622,0.00291
DB00517,ENTREZ:1128,0.0029
DB00517,DB01239,0.0029
DB00517,DB09167,0.00287
DB00517,ENTREZ:1132,0.00285
DB00517,DB00411,0.00282
DB00517,ENTREZ:1133,0.0028
DB00517,DB00376,0.00277
DB00517,DB00835,0.00276
DB00517,DB09076,0.00272
DB00517,DB06702,0.00272
DB00517,DB01409,0.00272
DB00517,DB08897,0.00272
DB00517,DB01036,0.00272
DB00517,DB00496,0.00272
DB00517,DB00340,0.00272
DB00517,DB01591,0.00272
DB00517,ENTREZ:510296,0.0027
DB00517,ENTREZ:3269,0.00269
DB00517,DB00809,0.00263
DB00517,DB01019,0.00262
DB00150,DB00150,0.23483
DB00150,ENTREZ:143784,0.2003
DB00150,DB04272,0.08735
DB00150,DB01378,0.00127
DB00150,DB01593,0.00125
DB00150,ENTREZ:351,0.00073
DB00150,ENTREZ:7157,0.00059
DB00150,ENTREZ:47,0.00059
DB00150,ENTREZ:1994,0.00053
DB00150,ENTREZ:4914,0.00052
DB00150,ENTREZ:790,0.00045
DB00150,ENTREZ:2618,0.00043
DB00150,ENTREZ:31,0.0004
DB00150,ENTREZ:7155,0.0004
DB00150,ENTREZ:8833,0.0004
DB00150,ENTREZ:32,0.00039
DB00150,ENTREZ:3615,0.00039
DB00150,ENTREZ:6233,0.00039
DB00150,ENTREZ:3320,0.00038
DB00150,ENTREZ:7316,0.00037
DB00150,ENTREZ:7372,0.00036
DB00150,ENTREZ:1956,0.00036
DB00150,ENTREZ:728378,0.00034
DB00150,ENTREZ:7514,0.00033
DB00150,ENTREZ:8452,0.00033
DB00150,ENTREZ:54101,0.00033
DB00150,ENTREZ:10482,0.00032
DB00150,ENTREZ:445582,0.00032
DB00150,ENTREZ:653269,0.00032
DB00150,ENTREZ:501,0.00032
DB00150,ENTREZ:4343,0.00032
DB00150,ENTREZ:653781,0.00031
DB00150,ENTREZ:224,0.00031
DB00150,ENTREZ:219,0.00031
DB00150,ENTREZ:2885,0.00031
DB00150,ENTREZ:3312,0.00031
DB00150,ENTREZ:216,0.0003
DB00150,ENTREZ:217,0.0003
DB00150,ENTREZ:9563,0.0003
DB00150,ENTREZ:7311,0.0003
DB00150,ENTREZ:2023,0.0003
DB00150,ENTREZ:2597,0.0003
DB00150,ENTREZ:223,0.0003
DB00150,ENTREZ:8854,0.0003
DB00150,ENTREZ:220,0.0003
DB00150,ENTREZ:3845,0.0003
DB00150,ENTREZ:218,0.0003
DB00150,ENTREZ:1017,0.00029
DB00150,ENTREZ:7915,0.00029
DB00150,ENTREZ:222,0.00029
DB00294,DB00294,0.15548
DB00294,ENTREZ:31234,0.08966
DB00294,ENTREZ:35652,0.08689
DB00294,ENTREZ:178628,0.01319
DB00294,DB00396,0.00708
DB00294,DB00367,0.00673
DB00294,ENTREZ:296673,0.00652
DB00294,ENTREZ:31680,0.00647
DB00294,ENTREZ:2911152,0.00643
DB00294,DB01406,0.0063
DB00294,DB00648,0.00617
DB00294,DB00957,0.00583
DB00294,DB00603,0.00576
DB00294,DB00304,0.00548
DB00294,DB00823,0.00548
DB00294,DB01431,0.00548
DB00294,DB00421,0.00504
DB00294,DB09389,0.00435
DB00294,DB00588,0.00416
DB00294,DB00834,0.00405
DB00294,DB08867,0.00404
DB00294,DB06713,0.00402
DB00294,DB01395,0.00401
DB00294,ENTREZ:3511138,0.00398
DB00294,DB09123,0.00385
DB00294,DB00717,0.00377
DB00294,DB00764,0.00369
DB00294,DB00351,0.00369
DB00294,DB00255,0.00358
DB00294,DB00675,0.00339
DB00294,DB00655,0.00318
DB00294,DB00783,0.00317
DB00294,DB01708,0.00307
DB00294,DB01185,0.00304
DB00294,DB01593,0.00303
DB00294,DB00624,0.00291
DB00294,DB04573,0.00288
DB00294,DB01108,0.0028
DB00294,DB00481,0.0027
DB00294,DB01196,0.00264
DB00294,DB06710,0.00262
DB00294,DB06202,0.00262
DB00294,DB02709,0.00258
DB00294,ENTREZ:177767,0.00251
DB00294,DB00977,0.00243
DB00294,DB04574,0.00243
DB00294,ENTREZ:367,0.00241
DB00294,ENTREZ:5241,0.00238
DB00294,DB06401,0.00238
DB00294,DB01878,0.00238
DB00682,DB00682,0.17906
DB00682,ENTREZ:40217983,0.09538
DB00682,ENTREZ:3511138,0.08802
DB00682,DB00170,0.04722
DB00682,DB00266,0.03548
DB00682,ENTREZ:189246,0.01934
DB00682,ENTREZ:184028,0.00743
DB00682,ENTREZ:182841,0.00737
DB00682,ENTREZ:36093,0.0067
DB00682,ENTREZ:182801,0.00603
DB00682,ENTREZ:339641,0.00596
DB00682,DB00100,0.00568
DB00682,ENTREZ:190818,0.00485
DB00682,DB00036,0.0046
DB00682,ENTREZ:190334,0.00438
DB00682,DB02709,0.00384
DB00682,ENTREZ:31234,0.00338
DB00682,DB01022,0.00334
DB00682,DB01248,0.00291
DB00682,DB01229,0.00291
DB00682,DB01045,0.00281
DB00682,DB00255,0.00253
DB00682,DB00783,0.00253
DB00682,DB05260,0.00252
DB00682,DB00163,0.0025
DB00682,DB01708,0.0025
DB00682,DB00396,0.00242
DB00682,DB01138,0.00242
DB00682,DB00675,0.0024
DB00682,DB00252,0.00237
DB00682,DB00312,0.00236
DB00682,DB12598,0.00229
DB00682,DB00849,0.00228
DB00682,DB00421,0.00224
DB00682,DB01026,0.00223
DB00682,DB01174,0.00222
DB00682,DB01110,0.00221
DB00682,DB13179,0.00221
DB00682,DB06777,0.0022
DB00682,DB01220,0.0022
DB00682,DB00257,0.00218
DB00682,DB00142,0.00217
DB00682,DB04930,0.00213
DB00682,DB00564,0.00211
DB00682,DB00977,0.0021
DB00682,DB01039,0.00209
DB00682,DB01393,0.00208
DB00682,DB01234,0.00208
DB00682,DB00499,0.00208
DB00682,ENTREZ:178628,0.00206
DB01120,DB01120,0.17221
DB01120,ENTREZ:1374919,0.10149
DB01120,ENTREZ:181971,0.09129
DB01120,ENTREZ:1711117,0.01946
DB01120,DB00222,0.01588
DB01120,DB01124,0.01523
DB01120,DB00912,0.01335
DB01120,DB01067,0.01327
DB01120,DB01252,0.01325
DB01120,DB00731,0.01325
DB01120,DB03754,0.01307
DB01120,ENTREZ:529313,0.01251
DB01120,DB06779,0.01245
DB01120,DB01017,0.01238
DB01120,DB09301,0.01197
DB01120,DB00112,0.01151
DB01120,DB05294,0.01029
DB01120,DB01136,0.00997
DB01120,ENTREZ:1088445,0.0051
DB01120,ENTREZ:307163,0.00508
DB01120,ENTREZ:757924,0.00472
DB01120,ENTREZ:179161,0.00419
DB01120,ENTREZ:1576,0.00404
DB01120,ENTREZ:516878,0.00388
DB01120,DB00350,0.00384
DB01120,ENTREZ:4981702,0.00365
DB01120,ENTREZ:535073,0.0034
DB01120,ENTREZ:42798,0.00329
DB01120,ENTREZ:183389,0.0031
DB01120,ENTREZ:180546,0.00292
DB01120,ENTREZ:6580,0.00291
DB01120,DB00217,0.00284
DB01120,ENTREZ:6833,0.00284
DB01120,ENTREZ:387018,0.00281
DB01120,ENTREZ:187193,0.0028
DB01120,DB00072,0.00243
DB01120,DB09462,0.00241
DB01120,DB01406,0.0023
DB01120,ENTREZ:307043,0.00216
DB01120,ENTREZ:31332,0.00215
DB01120,ENTREZ:4099445,0.00207
DB01120,DB00054,0.00205
DB01120,ENTREZ:31324,0.00204
DB01120,ENTREZ:182474,0.00204
DB01120,ENTREZ:31322,0.00204
DB01120,ENTREZ:32074,0.00204
DB01120,DB00074,0.00203
DB01120,DB00108,0.00203
DB01120,ENTREZ:29539,0.00198
DB01120,DB00078,0.00196
DB00180,DB00180,0.15122
DB00180,ENTREZ:2099,0.00556
DB00180,ENTREZ:2908,0.00547
DB00180,ENTREZ:6256,0.00546
DB00180,ENTREZ:367,0.00513
DB00180,ENTREZ:8431,0.00511
DB00180,ENTREZ:5468,0.00511
DB00180,ENTREZ:31680,0.00508
DB00180,ENTREZ:6257,0.00505
DB00180,ENTREZ:5914,0.00502
DB00180,ENTREZ:5465,0.00501
DB00180,ENTREZ:6258,0.005
DB00180,ENTREZ:7067,0.00486
DB00180,ENTREZ:5915,0.00485
DB00180,ENTREZ:5916,0.00483
DB00180,ENTREZ:7068,0.0048
DB00180,ENTREZ:7421,0.00479
DB00180,ENTREZ:7376,0.00475
DB00180,ENTREZ:10062,0.00474
DB00180,ENTREZ:8856,0.00474
DB00180,ENTREZ:2100,0.00473
DB00180,ENTREZ:2104,0.00471
DB00180,ENTREZ:9971,0.00471
DB00180,ENTREZ:5467,0.0047
DB00180,ENTREZ:2101,0.00469
DB00180,ENTREZ:2063,0.00469
DB00180,ENTREZ:190,0.00468
DB00180,ENTREZ:5241,0.00467
DB00180,ENTREZ:7025,0.00465
DB00180,ENTREZ:9970,0.00464
DB00180,ENTREZ:7026,0.00464
DB00180,ENTREZ:7182,0.00462
DB00180,ENTREZ:4306,0.00454
DB00180,ENTREZ:7181,0.00454
DB00180,ENTREZ:2103,0.00454
DB00180,ENTREZ:2649,0.00452
DB00180,ENTREZ:7101,0.0045
DB00180,ENTREZ:9611,0.00138
DB00180,ENTREZ:10499,0.00137
DB00180,DB00396,0.00136
DB00180,ENTREZ:9612,0.00134
DB00180,ENTREZ:8202,0.00133
DB00180,DB01234,0.00129
DB00180,DB00421,0.00128
DB00180,DB00588,0.00126
DB00180,DB00834,0.00125
DB00180,DB00755,0.00123
DB00180,DB00860,0.00122
DB00180,DB01222,0.00122
DB00180,DB00591,0.00122
DB00285,DB00285,0.15167
DB00285,ENTREZ:1902,0.00233
DB00285,ENTREZ:56923,0.00228
DB00285,ENTREZ:9170,0.00226
DB00285,ENTREZ:23566,0.00225
DB00285,ENTREZ:10316,0.00225
DB00285,ENTREZ:2847,0.00225
DB00285,ENTREZ:84539,0.00224
DB00285,ENTREZ:623,0.00224
DB00285,ENTREZ:186,0.00198
DB00285,ENTREZ:3350,0.00196
DB00285,ENTREZ:7852,0.00196
DB00285,ENTREZ:185,0.00195
DB00285,ENTREZ:1234,0.00195
DB00285,ENTREZ:4988,0.00194
DB00285,ENTREZ:1232,0.00192
DB00285,ENTREZ:1813,0.00192
DB00285,ENTREZ:150,0.00191
DB00285,ENTREZ:4985,0.0019
DB00285,ENTREZ:1230,0.0019
DB00285,ENTREZ:729230,0.00189
DB00285,ENTREZ:134,0.00189
DB00285,ENTREZ:3352,0.00189
DB00285,ENTREZ:1814,0.00189
DB00285,ENTREZ:3351,0.00189
DB00285,ENTREZ:5733,0.00188
DB00285,ENTREZ:4986,0.00188
DB00285,ENTREZ:339403,0.00188
DB00285,ENTREZ:1233,0.00188
DB00285,ENTREZ:10803,0.00188
DB00285,ENTREZ:151,0.00188
DB00285,ENTREZ:152,0.00188
DB00285,ENTREZ:10663,0.00188
DB00285,ENTREZ:187,0.00187
DB00285,ENTREZ:3358,0.00187
DB00285,ENTREZ:3355,0.00186
DB00285,ENTREZ:4886,0.00186
DB00285,ENTREZ:4887,0.00186
DB00285,ENTREZ:51289,0.00186
DB00285,ENTREZ:3361,0.00186
DB00285,ENTREZ:6755,0.00186
DB00285,ENTREZ:2587,0.00186
DB00285,ENTREZ:59340,0.00185
DB00285,ENTREZ:11255,0.00185
DB00285,ENTREZ:6752,0.00185
DB00285,ENTREZ:2831,0.00185
DB00285,ENTREZ:8811,0.00185
DB00285,DB06148,0.00185
DB00285,ENTREZ:6753,0.00185
DB00285,ENTREZ:2832,0.00185
DB00381,DB00381,0.1586
DB00381,ENTREZ:1698403,0.00854
DB00381,ENTREZ:179764,0.00832
DB00381,ENTREZ:179762,0.00821
DB00381,ENTREZ:300417,0.00819
DB00381,ENTREZ:775,0.0072
DB00381,ENTREZ:776,0.00691
